room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
7659473,1477,40202792,Shared room,,Barcelona,,Sant Martí,0,0.0,2,1.0,,84.0,,Loft luminoso cerca del mar,2017-07-28 14:48:59.899104,41.395045,2.193919,0101000020E61000008E959867258D014063B9A5D590B24440
2806466,1477,14330519,Shared room,,Barcelona,,Gràcia,0,0.0,2,1.0,,91.0,,"Cozy flat in heart of Barcelona, Gracia",2017-07-28 14:48:59.896405,41.402218,2.153929,0101000020E6100000753FA7203F3B014067EE21E17BB34440
6638779,1477,34746872,Shared room,,Barcelona,,Eixample,0,0.0,2,1.0,,91.0,,HABITACION PARA GRUPO,2017-07-28 14:48:59.893138,41.38035,2.149504,0101000020E61000002FF834272F3201404D840D4FAFB04440
9994799,1477,8538802,Shared room,,Barcelona,,Eixample,0,0.0,3,1.0,,102.0,,Appartment in the city center,2017-07-28 14:48:59.888319,41.384249,2.158137,0101000020E6100000E84CDA54DD430140A6423C122FB14440
15401121,1477,41657332,Shared room,,Barcelona,,Eixample,4,5.0,1,1.0,,100.0,,Large studio 2 min walk from Pl. Catalunya.,2017-07-28 14:48:59.885607,41.387109,2.170089,0101000020E61000005646239F575C01405F7EA7C98CB14440
19723333,1477,139032216,Shared room,,Barcelona,,Ciutat Vella,0,0.0,2,1.0,,97.0,,Palau Calm,2017-07-28 14:48:59.883468,41.387041,2.175754,0101000020E6100000252191B6F1670140079B3A8F8AB14440
15436697,1477,98983671,Shared room,,Barcelona,,Nou Barris,6,0.0,3,1.0,,102.0,,Alej's house,2017-07-28 14:48:59.879791,41.440966,2.179094,0101000020E61000005247C7D5C86E0140F052EA9271B84440
12284317,1477,64212374,Shared room,,Barcelona,,Sants-Montjuïc,17,3.5,16,1.0,,66.0,,20 Bed Mixed Basic Dorm Ensuite,2017-07-28 14:48:57.636807,41.373472,2.170715,0101000020E61000003D7E6FD39F5D014061FC34EECDAF4440
18585459,1477,85847207,Shared room,,Barcelona,,Les Corts,15,4.0,3,1.0,,66.0,,8 Big Room + 3 beds CAMPNOU+wifi,2017-07-28 14:48:57.633638,41.382368,2.1259,0101000020E6100000FD87F4DBD7010140BA84436FF1B04440
20081724,1477,4258395,Shared room,,Barcelona,,Eixample,0,0.0,1,1.0,,72.0,,La casita,2017-07-28 14:48:57.630786,41.386553,2.169334,0101000020E610000092CEC0C8CB5A0140D99596917AB14440
17318142,1477,84453923,Shared room,,Barcelona,,Les Corts,1,0.0,2,1.0,,42.0,,Yellow  room only for one person,2017-07-28 14:48:56.013262,41.385835,2.136207,0101000020E6100000E3E313B2F31601407A53910A63B14440
7832096,1477,26013994,Shared room,,Barcelona,,Ciutat Vella,0,0.0,1,1.0,,48.0,,Chambre Barcelone Proche Plage,2017-07-28 14:48:56.009525,41.37943,2.176618,0101000020E61000005514AFB2B6690140868F882991B04440
7840689,1477,26013994,Shared room,,Barcelona,,Ciutat Vella,0,0.0,1,1.0,,48.0,,1lit dans Chambre Proche plage,2017-07-28 14:48:56.006319,41.380605,2.176322,0101000020E6100000C2853C821B690140D8D825AAB7B04440
13749848,1477,80546774,Shared room,,Barcelona,,Sants-Montjuïc,0,0.0,1,1.0,,46.0,,Estudio a compartir,2017-07-28 14:48:55.999926,41.373245,2.168231,0101000020E61000001363997E89580140A032FE7DC6AF4440
5734382,1477,29735245,Shared room,,Barcelona,,Ciutat Vella,69,4.5,2,1.0,,55.0,,BARRIO GOTIC SOLO CHICAS HAB 2 PERS,2017-07-28 14:48:55.994570,41.378853,2.178555,0101000020E6100000594C6C3EAE6D0140E97E4E417EB04440
16280942,1477,19303419,Shared room,,Barcelona,,Sant Martí,0,0.0,1,1.0,,42.0,,Piso inam,2017-07-28 14:48:55.990688,41.402769,2.20246,0101000020E61000003BFC3559A39E0140DB6B41EF8DB34440
7167989,1477,35192439,Shared room,,Barcelona,,Sarrià-Sant Gervasi,0,0.0,1,1.0,,42.0,,Cama libre en apartamento S.Gervasi,2017-07-28 14:48:53.710033,41.39806,2.138573,0101000020E61000006EDE3829CC1B014042EC4CA1F3B24440
14105222,1477,17217105,Shared room,,Barcelona,,Eixample,0,0.0,2,1.0,,61.0,,Great and central apartment in Eixample,2017-07-28 14:48:53.707314,41.381672,2.152825,0101000020E6100000F0164850FC38014043E6CAA0DAB04440
19929842,1477,131616766,Shared room,,Barcelona,,Eixample,0,0.0,1,1.0,,42.0,,Bonito,2017-07-28 14:48:53.705032,41.378983,2.14641,0101000020E610000079758E01D92B0140B75ED38382B04440
12145956,1477,20649977,Shared room,,Barcelona,,Eixample,2,0.0,2,1.0,,48.0,,COLCHON DOBLE EN EL SALON DE MI APT,2017-07-28 14:48:53.699117,41.383334,2.154299,0101000020E6100000AC71361D013C0140F1B8A81611B14440
8516038,1477,12116844,Shared room,,Barcelona,,Ciutat Vella,0,0.0,2,1.0,,61.0,,Excelent bedroom in heart of Gothic,2017-07-28 14:48:53.696776,41.381474,2.176998,0101000020E6100000C6A86BED7D6A01401C23D923D4B04440
15284461,1477,96798523,Shared room,,Barcelona,,Eixample,1,0.0,2,1.0,,47.0,,Huge romantic room with balcony & private bathroom,2017-07-28 14:48:53.692881,41.379901,2.162554,0101000020E610000000AC8E1CE94C0140DD5B9198A0B04440
12006497,1477,64212374,Shared room,,Barcelona,,Sants-Montjuïc,12,4.0,10,1.0,,61.0,,10 Bed Mixed Dorm Ensuite,2017-07-28 14:48:53.690109,41.372971,2.168543,0101000020E610000001C287122D5901409FAD8383BDAF4440
19908302,1477,116351821,Shared room,,Barcelona,,Ciutat Vella,0,0.0,1,1.0,,58.0,,Cozy place in a low-income part of Barcelona,2017-07-28 14:48:53.687913,41.37744,2.167153,0101000020E6100000226DE34F54560140E31934F44FB04440
13864650,1477,2130870,Shared room,,Barcelona,,Ciutat Vella,9,4.0,2,1.0,,61.0,,Perfect room at Barceloneta beach!,2017-07-28 14:48:53.685352,41.380556,2.189145,0101000020E6100000889D29745E830140F6251B0FB6B04440
19735426,1477,139145605,Shared room,,Barcelona,,Sant Martí,0,0.0,2,1.0,,61.0,,Shared StudioLoft Space,2017-07-28 14:48:53.683306,41.399393,2.200359,0101000020E610000093ACC3D1559A01402CA0504F1FB34440
19344599,1477,135517302,Shared room,,Barcelona,,Sant Martí,5,5.0,2,1.0,,47.0,,Nice place!!!Poble nou,2017-07-28 14:48:53.676260,41.398724,2.204138,0101000020E61000007FF78E1A13A20140AE10566309B34440
18007528,1477,123717342,Shared room,,Barcelona,,Eixample,4,4.5,1,1.0,,61.0,,Barcelona&You 1Bed/12 Beds dorm.,2017-07-28 14:48:53.671397,41.401406,2.181331,0101000020E61000000002D6AA5D7301408735954561B34440
9862962,1477,28013627,Shared room,,Barcelona,,Ciutat Vella,35,4.5,1,1.0,,55.0,,EN EL CORAZON DE BARCELONA!!!,2017-07-28 14:48:53.667963,41.387717,2.180169,0101000020E61000003106D671FC700140378DEDB5A0B14440
11147546,1477,57949759,Shared room,,Barcelona,,Horta-Guinardó,37,4.5,2,1.0,,58.0,,Habitación doble exterior. Para dos.,2017-07-28 14:48:53.662388,41.412276,2.16454,0101000020E61000001B12F758FA5001407D76C075C5B44440
16110378,1477,10966292,Shared room,,Barcelona,,Eixample,8,5.0,2,1.0,,57.0,,COMFY and MODERN Bedroom in the best AREA in BCN!,2017-07-28 14:48:53.659020,41.390393,2.155961,0101000020E6100000959C137B683F01402ECBD765F8B14440
13530998,1477,11477489,Shared room,,Barcelona,,Nou Barris,5,4.5,4,1.0,,29.0,,ROOM WITH MIRROW & TERRACE,2017-07-28 14:48:51.302774,41.44236,2.175385,0101000020E6100000F3AB3940306701407F87A2409FB84440
16581161,1477,63470850,Shared room,,Barcelona,,Horta-Guinardó,3,4.5,1,1.0,,12.0,,Sofa Bed in the living room in Sagrada Familia,2017-07-28 14:48:51.299939,41.410664,2.170341,0101000020E6100000EF5701BEDB5C014080D250A390B44440
18346759,1477,109233374,Shared room,,Barcelona,,Ciutat Vella,0,0.0,1,1.0,,15.0,,巴塞罗那兰布拉大街单人床,2017-07-28 14:48:51.297074,41.383808,2.176027,0101000020E610000035B401D880680140BAF8DB9E20B14440
17186770,1477,104145323,Shared room,,Barcelona,,Eixample,1,0.0,2,1.0,,14.0,,HABITACIÓN CAMA DOBLE,2017-07-28 14:48:51.294364,41.389067,2.147271,0101000020E61000009831056B9C2D0140F6798CF2CCB14440
19875442,1477,133477040,Shared room,,Barcelona,,Nou Barris,0,0.0,1,1.0,,12.0,,ECONOMIC SHARING ROOM FOR GIRL IN BARCELONA,2017-07-28 14:48:51.292189,41.444676,2.183146,0101000020E61000004E2503401577014076A8A624EBB84440
14418755,1477,75851770,Shared room,,Barcelona,,Sant Martí,1,0.0,1,1.0,,24.0,,Habitacion unipersonal,2017-07-28 14:48:51.289426,41.417021,2.203066,0101000020E6100000B16F2711E19F0140635FB2F160B54440
18467729,1477,70530885,Shared room,,Barcelona,,Ciutat Vella,0,0.0,1,1.0,,19.0,,Sleeping corner near Arc de Triumph,2017-07-28 14:48:51.287138,41.389887,2.180546,0101000020E61000009163EB19C27101405A1135D1E7B14440
16135355,1477,99177915,Shared room,,Barcelona,,Eixample,0,0.0,4,1.0,,12.0,,Double sofa bed in the sala Central Barcelona,2017-07-28 14:48:51.284212,41.398527,2.176647,0101000020E6100000FA7DFFE6C569014058C9C7EE02B34440
11752174,1477,38635436,Shared room,,Barcelona,,Horta-Guinardó,4,1.5,1,1.0,,19.0,,Big and confortable living room,2017-07-28 14:48:49.487950,41.420853,2.159937,0101000020E6100000E25CC30C8D47014035B6D782DEB54440
12264564,1477,38635436,Shared room,,Barcelona,,Horta-Guinardó,4,1.0,1,1.0,,26.0,,"Nature love animals, no tourist, otra direccio",2017-07-28 14:48:49.485345,41.420144,2.159807,0101000020E6100000FE5F75E44847014029CE5147C7B54440
11291748,1477,38635436,Shared room,,Barcelona,,Horta-Guinardó,2,0.0,1,1.0,,26.0,,Apartemento very nice Parc Guell,2017-07-28 14:48:49.482455,41.419359,2.156784,0101000020E6100000DC4944F8174101404224438EADB54440
15639491,1477,49392522,Shared room,,Barcelona,,Sant Martí,0,0.0,1,1.0,,36.0,,Cama en habitación compartida (2 personas),2017-07-28 14:48:49.479508,41.389955,2.184761,0101000020E61000002C9CA4F9637A0140B2F4A10BEAB14440
7929911,1477,41807465,Shared room,,Barcelona,,Eixample,41,4.5,8,1.0,,28.0,,BED IN MIXED 8 PERS DORMITORY ROOM IN CITY CENTER,2017-07-28 14:48:49.476120,41.393117,2.154236,0101000020E610000046ED7E15E03B0140354069A851B24440
16308087,1477,7778897,Shared room,,Barcelona,,Gràcia,5,4.5,3,1.0,,35.0,,"Shared 6 beds dorm in Gracia, near Park Güell",2017-07-28 14:48:49.471392,41.411579,2.157052,0101000020E6100000D02B9E7AA4410140365CE49EAEB44440
15984149,1477,49392522,Shared room,,Barcelona,,Sant Martí,0,0.0,1,1.0,,30.0,,Bed in a shared room ( 6 beds ) 01,2017-07-28 14:48:49.468461,41.390308,2.184526,0101000020E6100000F4177AC4E8790140FFAECF9CF5B14440
11470876,1477,38635436,Shared room,,Barcelona,,Horta-Guinardó,6,3.0,1,1.0,,20.0,,"Nature animals, AZUL MAR no tourist, otra direccio",2017-07-28 14:48:49.465682,41.41968,2.158478,0101000020E61000007B15191D9044014084640113B8B54440
7968185,1477,41807465,Shared room,,Barcelona,,Eixample,5,4.5,4,1.0,,33.0,,BED IN LOVELY MIXED 4P DORMITORY BARCELONA CENTER,2017-07-28 14:48:49.462751,41.392836,2.152753,0101000020E610000057ED9A90D63801408258367348B24440
14104582,1477,41807465,Shared room,,Barcelona,,Eixample,13,4.5,6,1.0,,29.0,,BED IN NICE MIXED DORMITORY 6PERS BARCELONA CENTER,2017-07-28 14:48:49.459691,41.391153,2.15437,0101000020E610000040DEAB56263C0140BC5D2F4D11B24440
15984393,1477,49392522,Shared room,,Barcelona,,Sant Martí,2,0.0,1,1.0,,30.0,,Bed in a shared room ( 6 beds ) 03,2017-07-28 14:48:49.449129,41.390546,2.184656,0101000020E6100000D714C8EC2C7A0140B4CA4C69FDB14440
12926299,1477,38635436,Shared room,,Barcelona,,Sants-Montjuïc,6,1.0,1,1.0,,41.0,,Nice flat near placa Espana,2017-07-28 14:48:49.446349,41.366913,2.134941,0101000020E6100000C51D6FF25B14014016BD5301F7AE4440
8666693,1477,44913823,Shared room,,Barcelona,,Gràcia,38,4.5,1,1.0,,24.0,,Library Room 3 Rambla Catalunya,2017-07-28 14:48:49.443512,41.398817,2.158036,0101000020E6100000AAB9DC60A84301405F0B7A6F0CB34440
16307921,1477,7778897,Shared room,,Barcelona,,Gràcia,12,4.5,6,1.0,,31.0,,"Shared 12 beds dorm in Gracia, near Park Güell",2017-07-28 14:48:49.441333,41.412927,2.15628,0101000020E6100000AB2688BA0F4001405551BCCADAB44440
8537109,1477,44913823,Shared room,,Barcelona,,Gràcia,60,4.5,1,1.0,,24.0,,Library Room 1 Rambla Catalunya,2017-07-28 14:48:49.438605,41.398984,2.157648,0101000020E61000000C3D62F4DC4201404AD05FE811B34440
6868438,1477,15892125,Shared room,,Barcelona,,Sant Martí,54,4.0,1,1.0,,27.0,,"Sleeper in rooms, until 4 place",2017-07-28 14:48:49.435842,41.410343,2.194944,0101000020E61000005169C4CC3E8F01403E92921E86B44440
7927628,1477,41807465,Shared room,,Barcelona,,Eixample,56,4.5,4,1.0,,33.0,,BED IN NICE MIXED DORMITORY  IN CITY CENTER 4 PERS,2017-07-28 14:48:49.432942,41.392007,2.154837,0101000020E61000009FAF592E1B3D0140CB660E492DB24440
8746607,1477,44913823,Shared room,,Barcelona,,Gràcia,85,4.5,1,1.0,,24.0,,Shared room 4 Rambla Catalunya,2017-07-28 14:48:49.428979,41.398191,2.156548,0101000020E61000009E08E23C9C400140E04735ECF7B24440
8964716,1477,9547606,Shared room,,Barcelona,,Les Corts,7,4.0,4,1.0,,30.0,,Nice room №3 in the apartment,2017-07-28 14:48:47.677125,41.377614,2.123367,0101000020E6100000BC3E73D6A7FC00408141D2A755B04440
14603651,1477,7181095,Shared room,,Barcelona,,Sarrià-Sant Gervasi,5,5.0,1,1.0,,19.0,,Sofa available in Gracia,2017-07-28 14:48:47.674644,41.4003,2.149324,0101000020E6100000301004C8D03101405E4BC8073DB34440
7565758,1477,38635436,Shared room,,Barcelona,,Horta-Guinardó,5,2.0,2,1.0,,20.0,,"NICE PLACE NEAR PARC GUELL ch.bleue, otra direccio",2017-07-28 14:48:47.671142,41.421201,2.157868,0101000020E6100000EFAD484C50430140710514EAE9B54440
15984329,1477,49392522,Shared room,,Barcelona,,Sant Martí,3,5.0,1,1.0,,30.0,,Bed in a shared room ( 6 beds ) 02,2017-07-28 14:48:47.667708,41.391577,2.18472,0101000020E61000004356B77A4E7A0140D26EF4311FB24440
2329322,1477,11897267,Shared room,,Barcelona,,Sants-Montjuïc,20,4.5,2,1.0,,30.0,,SOFA MUY COMODO GAYFRIENDLY,2017-07-28 14:48:47.665187,41.373585,2.143214,0101000020E61000007FA2B2614D25014059A31EA2D1AF4440
19406132,1477,5463312,Shared room,,Barcelona,,Horta-Guinardó,6,3.5,2,1.0,,26.0,,Shared Room With Balcony Sagrada Familia,2017-07-28 14:48:47.660101,41.413014,2.174975,0101000020E6100000D8F0F44A5966014023658BA4DDB44440
19390968,1477,133477040,Shared room,,Barcelona,,Nou Barris,0,0.0,1,1.0,,11.0,,ECONOMIC SHARING ROOM FOR GIRL/ BOY IN BARNA CITY,2017-07-28 14:48:47.657135,41.446483,2.184639,0101000020E610000077871403247A0140289CDD5A26B94440
6143239,1477,15892125,Shared room,,Barcelona,,Sant Martí,88,4.5,1,1.0,,27.0,,"Sleeper in rooms, 4 place.",2017-07-28 14:48:47.654105,41.410155,2.195195,0101000020E6100000E4BD6A65C28F01403CA583F57FB44440
8535939,1477,44913823,Shared room,,Barcelona,,Gràcia,93,4.5,1,1.0,,24.0,,Shared room 1 Rambla Catalunya,2017-07-28 14:48:47.651978,41.399344,2.157804,0101000020E6100000836C59BE2E4301404AED45B41DB34440
13060450,1477,7778897,Shared room,,Barcelona,,Gràcia,20,4.5,1,1.0,,36.0,,"Shared female dorm in Gracia, 5min Park Güell",2017-07-28 14:48:47.649772,41.413451,2.155535,0101000020E61000001F115322893E0140CFBF5DF6EBB44440
7291604,1477,38186748,Shared room,,Barcelona,,Sants-Montjuïc,19,5.0,1,1.0,,28.0,,Sofá cama muy cómodo en el salon,2017-07-28 14:48:47.646958,41.37539,2.14661,0101000020E6100000EA211ADD412C01406B9F8EC70CB04440
7159061,1477,19512522,Shared room,,Barcelona,,Sant Andreu,4,4.0,4,1.0,,19.0,,Cama doble y sillon cama en Loft,2017-07-28 14:48:47.644655,41.434184,2.20694,0101000020E6100000B9DFA128D0A701402639605793B74440
7930782,1477,41807465,Shared room,,Barcelona,,Eixample,33,4.5,6,1.0,,29.0,,CITY CENTER BED IN NICE MIXED DORM FOR 6 PERSONS,2017-07-28 14:48:47.642155,41.393219,2.153144,0101000020E610000006A1BC8FA33901403A950C0055B24440
5868129,1477,17925327,Shared room,,Barcelona,,Sants-Montjuïc,23,4.5,6,1.0,,26.0,,Gran habitación para 6,2017-07-28 14:48:47.626713,41.375855,2.134314,0101000020E6100000D828EB3713130140E08442041CB04440
14198286,1477,79703460,Shared room,,Barcelona,,Sarrià-Sant Gervasi,15,5.0,1,1.0,,27.0,,"UM SOFÁ CAMA EN MI SALÓN!
Las camas cambian /ropas",2017-07-28 14:48:47.623429,41.411149,2.142038,0101000020E61000006150A6D1E42201403D64CA87A0B44440
19679742,1477,46883495,Shared room,,Barcelona,,Les Corts,0,0.0,2,1.0,,40.0,,Cozy double room. Perfect location.,2017-07-28 14:48:44.577758,41.386355,2.141202,0101000020E6100000D009A1832E210140B3D2A41474B14440
11752149,1477,38635436,Shared room,,Barcelona,,Horta-Guinardó,2,0.0,1,1.0,,22.0,,"CHAMBRE A PARTAGER, otra direccion",2017-07-28 14:48:44.574832,41.420141,2.158783,0101000020E61000004149810530450140B85A272EC7B54440
16253068,1477,27416435,Shared room,,Barcelona,,Gràcia,2,0.0,1,1.0,,34.0,,Habitación en Gràcia,2017-07-28 14:48:44.568039,41.403052,2.152075,0101000020E61000004850FC1873370140304B3B3597B34440
19748665,1477,95098626,Shared room,,Barcelona,,Sants-Montjuïc,0,0.0,1,1.0,,36.0,,Ático Luminoso planta 9 con terraza grande,2017-07-28 14:48:44.565668,41.356552,2.143608,0101000020E61000003F8D7BF31B26014065A9F57EA3AD4440
12514138,1477,67775250,Shared room,,Barcelona,,Eixample,16,4.5,2,1.0,,19.0,,Sofá/cama con vistas,2017-07-28 14:48:44.561299,41.387078,2.151224,0101000020E610000062F6B2EDB435014024809BC58BB14440
15600655,1477,11897267,Shared room,,Barcelona,,Sants-Montjuïc,17,5.0,5,1.0,,38.0,,YOGA ROOM GAYFRIENDLY  CERCA DE PL ESPAÑA Y SANTS,2017-07-28 14:48:44.558445,41.373056,2.141656,0101000020E6100000E5417A8A1C220140CDC98B4CC0AF4440
19311511,1477,135216150,Shared room,,Barcelona,,Nou Barris,1,0.0,1,1.0,,12.0,,Accommodation in barcelona for backpacker,2017-07-28 14:48:44.556189,41.445777,2.184364,0101000020E61000005B7A34D5937901408D2782380FB94440
10076856,1477,51704396,Shared room,,Barcelona,,Gràcia,0,0.0,1,1.0,,28.0,,Appartement en vila de gracia,2017-07-28 14:48:44.553409,41.400164,2.159198,0101000020E610000078B5DC9909460140AD84EE9238B34440
8626546,1477,44913823,Shared room,,Barcelona,,Gràcia,105,4.5,1,1.0,,24.0,,Library Room 2 Rambla Catalunya,2017-07-28 14:48:44.550524,41.397185,2.157227,0101000020E6100000B262B83A004201401BBB44F5D6B24440
19104137,1477,133477040,Shared room,,Barcelona,,Nou Barris,3,5.0,1,1.0,,12.0,,ECONOMIC SHARING ROOM FOR GIRL IN BARCELONA,2017-07-28 14:48:44.544902,41.446535,2.183076,0101000020E6100000C075C58CF07601407AC2120F28B94440
17885163,1477,58084487,Shared room,,Barcelona,,Sants-Montjuïc,1,0.0,1,1.0,,19.0,,Bed Couch in charming apartment of Poble Sec,2017-07-28 14:48:44.542674,41.373239,2.170867,0101000020E61000009DB98784EF5D0140BE4BA94BC6AF4440
6894745,1477,15892125,Shared room,,Barcelona,,Sant Martí,48,4.5,1,1.0,,27.0,,"Sleeper in rooms, 4 place",2017-07-28 14:48:44.539186,41.411884,2.193263,0101000020E6100000FC36C478CD8B014072DF6A9DB8B44440
7930871,1477,41807465,Shared room,,Barcelona,,Eixample,50,4.5,6,1.0,,29.0,,BED IN GREAT MIXED DORMITORY CITY CENTER 6 PERS !,2017-07-28 14:48:44.536747,41.391746,2.153137,0101000020E6100000DE7536E49F3901405E2BA1BB24B24440
13966456,1477,4093742,Shared room,,Barcelona,,Gràcia,2,0.0,2,1.0,,41.0,,Cozy double room in Gracia,2017-07-28 14:48:44.534056,41.401798,2.151323,0101000020E6100000950F41D5E835014092CCEA1D6EB34440
19572730,1477,137551325,Shared room,,Barcelona,,Horta-Guinardó,0,0.0,2,1.0,,28.0,,Cheap Shared Room With Balcony Barcelona,2017-07-28 14:48:41.648815,41.412252,2.173384,0101000020E610000083328D2617630140F5DA6CACC4B44440
8529563,1477,9547606,Shared room,,Barcelona,,Les Corts,19,4.0,3,1.0,,24.0,,Nice room №6 for 3 persons,2017-07-28 14:48:41.646405,41.37741,2.123894,0101000020E6100000705D3123BCFD004078978BF84EB04440
